amount,hour_of_day,day_of_week,is_online,merchant_risk,country_risk,customer_age_days,transaction_count_24h,amount_zscore,distance_from_home,device_age_days,is_new_device,distinct_merchants_24h,time_since_last_txn_hours,is_fraud
92.74,18,3,1,0.0699,0.2632,363,1,-0.111,11.3,206,0,4,27.943,0
123.68,13,4,1,0.1537,0.1067,744,3,-0.29,3.2,146,0,1,16.605,0
441.16,17,2,1,0.2187,0.1382,229,1,0.896,4.0,570,0,3,5.01,0
68.79,10,3,1,0.1472,0.3415,809,6,1.218,19.6,200,0,0,40.226,0
195.11,14,2,1,0.1496,0.0444,900,3,0.805,19.2,269,0,3,9.149,0
62.75,18,6,0,0.0758,0.0948,509,4,-0.118,36.7,223,0,2,12.923,0
602.55,1,4,1,0.5979,0.4181,92,5,0.022,389.2,13,1,7,0.632,1
172.86,20,0,1,0.2165,0.2069,671,1,0.838,11.4,101,0,0,10.814,0
103.87,7,1,0,0.3267,0.2932,690,2,-1.001,19.7,117,1,1,30.765,0
95.42,9,5,0,0.2903,0.1206,595,2,0.697,1.0,147,0,1,8.112,0
205.86,12,0,1,0.0127,0.3044,891,2,-0.836,17.4,104,0,3,3.367,0
283.98,13,3,1,0.1088,0.3486,545,1,-0.119,31.3,250,0,1,19.766,0
218.38,19,4,1,0.1142,0.2321,1272,1,2.701,50.9,384,0,3,16.704,0
80.19,18,3,0,0.0165,0.1239,904,2,1.691,16.7,190,0,0,9.347,0
57.7,13,1,1,0.0843,0.2346,989,1,0.352,14.0,605,1,1,1.663,0
290.79,19,2,1,0.116,0.2294,654,1,1.753,8.9,75,0,0,12.442,0
327.62,12,2,1,0.1256,0.2855,367,4,-0.408,17.5,205,0,2,8.267,0
253.09,16,1,0,0.4304,0.1038,1304,0,-0.609,16.0,191,0,2,3.567,0
29.35,12,5,0,0.2593,0.0461,484,3,1.733,7.1,156,0,0,13.79,0
28.63,11,5,1,0.2978,0.3061,562,3,0.17,38.3,106,0,1,2.821,0
237.94,15,4,0,0.0661,0.1071,1043,4,-0.741,17.6,217,0,1,6.631,0
549.89,6,1,0,0.2801,0.1556,837,0,-0.251,5.0,49,0,6,5.301,0
55.74,9,1,0,0.1826,0.3055,714,2,-0.151,9.7,496,0,1,4.948,0
142.77,13,2,1,0.2012,0.0982,843,4,0.643,7.4,184,0,0,0.074,0
151.57,20,5,0,0.0734,0.204,611,1,-0.23,18.0,171,0,1,1.372,0
132.69,9,1,1,0.0253,0.169,509,0,-1.007,8.1,102,0,1,2.057,0
166.7,11,0,1,0.2653,0.0873,704,1,1.698,10.0,128,0,3,0.986,0
152.61,19,3,0,0.1783,0.0198,767,3,-1.192,4.3,283,0,1,33.583,0
50.44,17,3,1,0.0741,0.1101,344,2,-0.438,16.4,132,0,1,2.442,0
112.25,19,6,1,0.2652,0.0538,739,3,1.051,26.3,163,0,1,3.167,0
108.88,20,5,1,0.3049,0.1581,663,5,-1.661,30.5,89,0,4,25.76,0
82.95,20,2,1,0.2683,0.1353,593,2,0.955,8.1,193,0,2,6.322,0
92.26,14,3,1,0.3298,0.1458,899,5,-0.306,30.2,90,0,2,6.01,0
54.23,19,6,0,0.2103,0.0631,922,3,-1.72,8.4,232,0,0,13.24,0
731.25,11,2,1,0.2588,0.1565,503,4,-0.225,1.2,303,0,2,9.37,0
288.8,20,1,0,0.1427,0.0821,740,1,0.583,28.3,169,0,0,1.758,0
139.05,13,0,1,0.4237,0.0785,1353,2,-0.914,28.5,75,0,1,5.624,0
322.87,18,5,1,0.1316,0.0693,738,1,0.362,29.0,341,0,1,1.171,0
92.02,20,0,0,0.3405,0.1148,682,1,-0.153,9.7,85,1,3,41.222,0
125.31,6,2,0,0.2644,0.157,695,4,0.976,10.4,184,0,0,22.552,0
77.03,14,3,1,0.0739,0.0889,285,2,1.964,34.2,175,0,4,3.159,0
191.09,16,2,1,0.2425,0.2525,825,1,0.141,5.0,125,0,2,5.234,0
187.53,12,1,1,0.3675,0.0574,1183,1,-0.77,13.1,184,0,0,10.923,0
150.45,13,0,0,0.1124,0.0801,1156,1,0.298,42.9,192,1,3,23.911,0
1202.94,17,6,1,0.9055,0.7765,47,6,2.138,280.7,1,1,3,0.395,1
35.58,13,4,0,0.1112,0.1112,702,4,-1.121,14.2,90,1,2,9.932,0
125.46,13,4,1,0.0531,0.0467,237,4,0.492,18.9,168,0,2,9.674,0
173.07,19,1,1,0.2316,0.0264,995,4,0.368,5.0,92,0,1,2.574,0
190.05,13,6,1,0.3688,0.0958,876,0,-0.208,19.1,159,0,2,4.559,0
118.43,12,3,0,0.5574,0.1427,928,1,-0.971,26.9,217,0,1,5.819,0
392.61,19,5,1,0.3827,0.0988,735,1,0.134,35.0,298,0,1,25.879,0
198.6,21,0,1,0.1422,0.0816,536,2,0.144,17.2,296,0,3,11.426,0
281.49,21,3,1,0.1094,0.1529,421,2,-0.01,6.1,206,0,2,0.708,0
544.84,12,0,0,0.1305,0.1595,427,1,0.712,0.2,148,0,1,0.426,0
